"pval"	"apval"	"X2_0.97_NA"	"X3_0.96_SBS1.0.94"	"X4_0.81_NA"	"X5_1.0_SBS43.0.91"	"X6_1.0_SBS58.0.87"	"X7_0.94_NA"	"X1_0.97_SBS31.0.95"
"SRR767564_SRR767447"	0.0694779931970244	1	643.991046755403	599.398001009866	464.834038551948	0	262.963879557545	300.316184634387	87.4968494908512
"SRR524581_SRR523939"	0.0711056073868457	1	180.274481911636	0	0	0	464.521022154159	644.204495934206	0
"SRR767415_SRR767463"	0.0723239785311073	1	311.412088159242	0	2137.86796652714	0	225.632407163059	0	124.087538150562
"SRR1802338_SRR1801402"	0.0735918096172966	1	892.923887390881	365.459818740069	110.337373606803	33.5976728314648	213.720082867796	466.961164562986	0
"ACHSC23"	0.0871720332308749	1	403.452842058197	0	0	0	28.886720684927	94.6604372568761	0
"ACMPPc8"	0.087599217625123	1	458.732251677386	0	0	0	46.2677483226143	0	0
"SRR524635_SRR524020"	0.109085955382358	1	845.999121691118	0	278.735735520274	54.0587279016264	1733.20641488698	0	0
"SRR1802798_SRR1802439"	0.127424564155236	1	707.519749994726	175.996792815146	0	50.1483720822341	230.462234821124	781.872850286771	0
"SRR524549_SRR523039"	0.142943177917554	1	534.740853735038	210.956414961533	0	38.8471075038034	656.364662824221	779.090960975404	0
"SRR523356_SRR522999"	0.172294023553059	1	197.035286906328	279.664514761819	129.511752372779	45.011802094363	163.326986981625	368.449656883086	0
"SRR767544_SRR767572"	0.174191031263732	1	408.219419850608	154.360645225892	56.0239777641224	0	166.191569466339	560.204387693038	0
"ACHSCc6"	0.193310954868836	1	399.057699121611	63.3476948779362	0	10.9209547369689	25.6736512634843	0	0
"SRR767507_SRR767431"	0.209663923678909	1	861.301164935235	383.577292003713	0	32.2700404797983	275.271909582987	347.579592998267	0
"ACMPP21"	0.232470825045397	1	468.154369237055	0	0	11.3790488160207	44.838501514033	67.6280804328918	0
"SRR1802102_SRR1800371"	0.24330908601768	1	383.935807944233	0	0	0	240.708085580862	879.356106474906	0
"ACMPP29"	0.253242563769614	1	419.811551078827	57.6637328396268	0	0	0	70.5247160815463	0
"SRR1802703_SRR1802556"	0.286571065359421	1	688.507105542916	353.933128690201	69.1920200770679	28.8841685009175	240.365111757482	572.118465431416	0
"SRR1801916_SRR1800363"	0.376549642082885	1	334.624459811844	0	0	0	271.995546790225	535.379993397931	0
"SRR523789_SRR524736"	0.386658834201549	1	396.462622164314	0	178.731456483048	247.121863031736	400.84409716611	1032.83996115479	0
"ACMPPc6"	0.420727056397907	1	427.006180238072	0	52.6228136354642	15.7571867821729	40.6138193442905	0	0
"SRR529101_SRR529152"	0.999995530595152	1	0	0	0	6101	0	0	0
"CB112MPPO6"	0.999998634839319	1	19.3651627447159	25.6348372552841	0	0	0	0	0
"CB112MPPC9"	0.999999406005444	1	0	44	0	0	0	0	0
"SRR524251_SRR523317"	1	1	0	0	0	0	2247	0	0
"SRR524399_SRR524517"	1	1	0	104.728579942491	88.9412722925731	56.3700368758533	244.609041072778	596.351069816305	0
"X10817MPPA4"	1	1	0	16.9692203855199	0	0	0	20.0307796144801	0
"CB112MPPC17"	1	1	12.322949082303	19.677050917697	0	0	0	0	0
